+79999999990,+79999999996,2011-10-10,1200,10
+79999999991,+79999999995,2011-10-11,1300,11
+79999999992,+79999999994,2011-10-12,1400,12
+79999999993,+79999999993,2011-10-13,1500,13
+79999999994,+79999999992,2011-10-14,1600,14
+79999999995,+79999999991,2011-10-15,1700,15
+79999999996,+79999999990,2011-10-16,1800,16
+79999999990,+79999999991,2011-10-17,1200,10
+79999999991,+79999999992,2011-10-18,1300,11
+79999999992,+79999999993,2011-10-19,1400,12
+79999999993,+79999999994,2011-10-20,1500,13
+79999999994,+79999999995,2011-10-21,1600,14
+79999999995,+79999999996,2011-10-22,1700,15
+79999999996,+79999999990,2011-10-23,1800,16
