1,+0 123 0001 456,+0 123 0002 456,2019-11-19T12:00:00,50,60
2,+0 123 0002 456,+0 123 0003 456,2019-11-19T12:01:00,60,60
3,+0 123 0001 456,+0 123 0002 456,2019-11-19T12:02:00,70,10
4,+0 123 0003 456,+0 123 0002 456,2019-11-19T12:03:00,80,20
5,+0 123 0001 456,+0 123 0004 456,2019-11-19T12:04:00,90,30
6,+0 123 0004 456,+0 123 0006 456,2019-11-19T12:05:00,10,40
7,+0 123 0004 456,+0 123 0005 456,2019-11-19T12:06:00,20,60
8,+0 123 0005 456,+0 123 0001 456,2019-11-19T12:07:00,30,20
9,+0 123 0001 456,+0 123 0009 456,2019-11-19T12:08:00,40,10
10,+0 123 0002 456,+0 123 0011 456,2019-11-19T12:09:00,50,50
